,cleaned_trip_data$usertype,cleaned_trip_data$day_of_week,cleaned_trip_data$ride_length,,,Row Labels,Sum of cleaned_trip_data$ride_length,
1,casual,Sunday,1732.619357,,,casual,10312.38653,
2,member,Sunday,879.0183739,,,Sunday,1732.619357,
3,casual,Monday,1547.165194,,,Monday,1547.165194,
4,member,Monday,740.4866201,,,Tuesday,1382.298396,
5,casual,Tuesday,1382.298396,,,Wednesday,1325.050433,
6,member,Tuesday,722.5523191,,,Thursday,1294.859725,
7,casual,Wednesday,1325.050433,,,Friday,1401.252798,
8,member,Wednesday,724.6883244,,,Saturday,1629.140625,
9,casual,Thursday,1294.859725,,,member,5388.177115,
10,member,Thursday,718.6471706,,,Sunday,879.0183739,
11,casual,Friday,1401.252798,,,Monday,740.4866201,
12,member,Friday,746.0336063,,,Tuesday,722.5523191,
13,casual,Saturday,1629.140625,,,Wednesday,724.6883244,
14,member,Saturday,856.7507012,,,Thursday,718.6471706,
,,,,,,Friday,746.0336063,
,,,,,,Saturday,856.7507012,
,,,,,,Grand Total,15700.56364,
